GEOID10,avgReleasesLb_10yr
08059012030,15509.47279
08005006502,5225.697364
08005006604,5279.097214
08005086100,4907.065797
08005006857,4852.792245
08005085600,4864.442753
08037000502,317936.5681
08005006858,4852.792245
08005086000,4908.547362
08005006501,5177.388403
08117000200,453680.5659
08005084900,4855.698998
08005006808,4855.698998
08059012042,5110.473967
08005005636,4852.792245
08005085500,4855.698998
08005006712,4852.792245
08059012043,5110.473967
08005005612,5211.846964
08059012054,5097.669327
08005005619,5129.410644
08005006601,5175.942609
08059012050,5087.754831
08005086200,4864.442753
08059012026,14765.69289
08005005620,5129.410644
08005085400,4864.442753
08005007106,4912.036189
08059012050,5087.754831
08005083700,4855.698998
08005081700,4855.698998
08037000701,317936.5681
08059012027,4974.076286
08037000501,312889.9559
08005084800,4855.698998
08005006400,5102.610139
08005085700,4855.698998
08031006804,4852.792245
08031012014,5082.41114
08031006701,5359.783461
08059012039,5014.152456
08005006300,5102.610139
08005085900,4864.442753
08059012041,5052.673197
08005005553,5102.610139
08031005503,5127.992504
08059012038,5014.152456
08005083600,4855.698998
08005006705,5102.610139
08005084600,4855.698998
08005085800,4855.698998
08037000702,459280.4136
08005006854,4852.792245
08037000200,52.35945045
08005006200,5102.610139
08037000701,427609.41
08037000402,196598.977
08005006704,5168.268675
08037000503,317936.5681
08005084200,4855.698998
08059980400,5045.912316
08031006809,5317.229805
08005083900,4855.698998
08005084400,4855.698998
08005084700,4855.698998
08031006810,5359.783461
08031005502,5019.983375
08005006100,5102.610139
08005083200,4864.442753
08005083800,4922.53811
08031012001,5019.983375
08005084000,4922.53811
08005006000,5102.610139
08037000403,52.35945045
08031004004,5168.268675
08059015900,5037.691987
08117000100,450930.9867
08005084100,4922.53811
08005084300,4922.53811
08005005552,5019.983375
08037000401,312889.9559
08059011904,5013.201447
08005005951,5097.302983
08005005952,5102.610139
08005084500,4922.53811
08031007006,5407.503938
08031011902,4981.543266
08059011729,4981.543266
08059011730,4981.543266
08031006814,5366.069741
08031006811,5238.634662
08031006812,5150.121463
08005081600,4922.53811
08005005700,5019.983375
08031004003,5150.121463
08059011731,5005.662968
08005083400,4823.053912
08031004801,4981.543266
08005083000,4823.053912
08005082500,4922.53811
08031015700,5013.201447
08005083300,4841.048746
08031004002,5150.773585
08031015600,5013.201447
08005081500,4922.53811
08005005800,5019.983375
08005080400,5410.56861
08059009846,14585.72515
